Church_Name,Address,Phone_Number,Website,No_of_Member,Ponster_Name
"
        ,Church (CCH)
        ","
			,
			827 Tom Hunter Rd,
Charlotte NC  28213-8008,
USA
        ","
        ,704-597-9627
        ",http://www.northeastadventist.org,"
		,765","
		,Samuel Dade "
"
        ,Church (CCH)
        ","
			,
			5242 Lineberger Rd,
Stanley NC  28164-4100,
USA
        ","
		,Jorge E Quintiana ",http://charlottemahanaimhispanicnc.adventistchurch.org,"
    	,
			C/O Elder Jorge Quintiana,
106 Flanders Dr,
Mooresville NC  28117-4123,
USA
		","
		,60"
"
        ,
			,
			(,) 
			
        ","
			,
			4013 Shamrock Dr,
Charlotte NC  28215-3821,
USA
        ","
		,Jorge E Quintiana ",http://charlotteemanuelhispanicnc.adventistchurch.org,"
    	,
			C/O Elder  Quintiana,
302 Sterling Trl,
Powder Springs GA  30127-6737,
USA
		","
		,139"
"
        ,
			,
			(,) 
			
        ","
			,
			1801 Double Oaks Rd,
Charlotte NC  28206-2301,
USA
        ","
        ,704-377-6313
        ",http://www.charlottebereansda.org,"
		,343","
		,Godwin R Mitchell "
"
        ,Company (CCO)
        ","
			,
			c/o St. Luke’s Episcopal church,
188 Main St,
Charlestown NH  03603-4916,
USA
        ","
		,Ron Nickerson ",http://www.charlestownsdachurch.org,"
    	,
			PO Box 445,
Charlestown NH  03603-0445,
USA
		","
		,21"
"
        ,
			,
			(,) 
			
        ","
			,
			622 Kanawha Blvd W,
Charleston WV  25302-1922,
USA
        ","
		,Joel Klimkewicz ",http://www.boulevardsda.org,"
    	,
			622 Kanawha Blvd W,
Charleston WV  25302-1922,
USA
		","
		,165"
"
        ,
			,
			(,) 
			
        ","
			,
			2518 Savannah Hwy,
Charleston SC  29414-5325,
USA
        ","
		,Tony (Jose Antonio) LaPorte ",http://www.charlestonsdachurch.com,"
    	,
			2518 Savannah Hwy,
Charleston SC  29414-5325,
USA
		","
		,258"
"
        ,
			,
			(,) 
			
        ","
			,
			3914 Dorchester Rd,
North Charleston SC  29405-7563,
USA
        ","
        ,843-308-0184
        ",http://charlestonshiloh22.adventistchurchconnect.org,"
		,414","
		,Marvin Mclean "
,"
			,
			121 Porter Way,
Charles Town WV  25414-9425,
USA
        ","
		,
			,
			
		",http://charlestownspanishwv.adventistchurch.org,"
		,Roberto Clouzet ","
        ,
        "
"
        ,
			,
			(,) 
			
        ","
			,
			7869 Summit Point Rd,
PO Box 759,
Charles Town WV  25414-0759,
USA
        ","
		,Jason Disch ",http://charlestownwv.adventistchurch.org,"
    	,
			PO Box 759,
Charles Town WV  25414-0759,
USA
		","
		,77"
"
        ,Church (CCH)
        ","
			,
			110 Hillside Dr,
Charles City IA  50616-1621,
USA
        ","
        ,641-228-6557
        ",http://charlescity22.adventistchurchconnect.org,"
		,20","
		,Darren Rajkumar Robinson "
"
        ,
			,
			,
        ","
			,
			1535 Forbes St,
East Hartford CT  06118-3316,
USA
        ","
		,Robert Madden ",http://charity22.adventistchurchconnect.org,"
    	,
			1535 Forbes St,
East Hartford CT  06118-3316,
USA
		","
		,188"
"
        ,
			,
			(,) 
			
        ","
			,
			3819 Mann Rd,
Indianapolis IN  46221-2427,
USA
        ","
		,Jose L. Medina Jr.",http://chapelwest.netadvent.org,"
    	,
			PO Box 51657,
Indianapolis IN  46251-0657,
USA
		","
		,141"
"
        ,
			,
			(,) 
			
        ","
			,
			510 Sage Rd,
Chapel Hill NC  27514-7108,
USA
        ","
		,Dexter Richardson ",http://www.nlfsda.com,"
    	,
			5 Brightwater Ln,
Hillsborough NC  27278-7151,
USA
		","
		,153"
"
        ,
			,
			(,) 
			
        ","
			,
			9911 Huron St,
Northglenn CO  80260-5636,
USA
        ","
        ,303-451-1800
        ",http://www.chapelhavenadventistchurch.org,"
		,294","
		,Herbert Hernandez "
"
        ,
			,
			(,) 
			
        ","
			,
			909 W 14th St,
Chanute KS  66720-2806,
USA
        ","
		,Ethan John Muse ",http://chanuteks.adventistchurch.org,"
    	,
			PO Box 78,
Chanute KS  66720-0078,
USA
		","
		,35"
"
        ,
			,
			(,) 
			
        ","
			,
			The Bridge Church,
645 N Gilbert Rd Ste 180,
Gilbert AZ  85234-4682,
USA
        ","
		,Jose Luis Jimenez ",http://chandlerspanishaz.adventistchurch.org,"
    	,
			PO Box 2005,
Chandler AZ  85244-2005,
USA
		","
		,226"
"
        ,
			,
			(,) 
			
        ","
			,
			8th and Blaine St,
Chandler OK  74834,
USA
        ","
		,William A Norman ",http://chandler23.adventistchurchconnect.org,"
    	,
			346997 E 990 Rd,
Sparks OK  74869-9728,
USA
		","
		,23"
"
        ,
			,
			(,) 
			
        ","
			,
			801 W Frye Rd,
Chandler AZ  85225-9543,
USA
        ","
		,Glenn L. Sta. Ana ",http://filamsdaaz.org,"
    	,
			801 W Frye Rd,
Chandler AZ  85225-9543,
USA
		","
		,89"
"
        ,
			,
			(,) 
			
        ","
			,
			Christ Community Church,
1550 W Chandler Blvd,
Chandler AZ  85224-6142,
USA
        ","
		,Sergio Moreira ",http://www.chandlerbraziliansda.com,"
    	,
			c/o Sergio Moreira,
825 W Queen Creek Rd Apt 1035,
Chandler AZ  85248-3209,
USA
		","
		,80"
"
		,
		","
			,
			2514 FM 315 S,
Chandler TX  75758-8352,
USA
        ","
        ,
        ",http://chandleradventistfellowship.org,"
    	,
			19780 County Road 3404,
Chandler TX  75758-7315,
USA
		","
		,19"
"
        ,
			,
			(,) 
			
        ","
			,
			1188 W Galveston St,
Chandler AZ  85224-4334,
USA
        ","
        ,480-899-4177
        ",http://chandler.adventistfaith.org,"
    	,
			1188 W Galveston St,
Chandler AZ  85224-4334,
USA
		","
		,378"
"
        ,
			,
			(,) 
			
        ","
			,
			308 S Mattis Ave,
Champaign IL  61821-3046,
USA
        ","
		,Peter Iwankiw ",http://champaignadventistchurch.org,"
    	,
			308 S Mattis Ave,
Champaign IL  61821-3046,
USA
		","
		,130"
"
        ,Church (CCH)
        ","
			,
			212 E Park St,
Champaign IL  61820-3723,
USA
        ","
		,Nikolai X Greaves ",http://parkavenue22.adventistchurchconnect.org,"
    	,
			PO Box 782,
Champaign IL  61824-0782,
USA
		","
		,81"
"
        ,Church (CCH)
        ","
			,
			160 E Liberty St,
Chambersburg PA  17201-3565,
USA
        ","
		,Preston Monterrey-Clark ",http://chambersburg22.adventistchurchconnect.org,"
    	,
			160 E Liberty St,
Chambersburg PA  17201-3565,
USA
		","
		,125"
,,"
        ,Latitude:
			,, Longitude:
			-77.655914
			, Source:
			,
        ",http://chambersburghispanicpa.adventistchurch.org,"
		,Saud E Elias ","
        ,
        "
"
        ,
			,
			(,) 
			
        ","
			,
			602 Bordeaux St,
Chadron NE  69337-2780,
USA
        ","
		,Mark Thomas Magnusson ",http://www.chadronsdachurch.org,"
    	,
			602 Bordeaux St,
Chadron NE  69337-2780,
USA
		","
		,57"
"
        ,
			,
			(,) 
			
        ","
			,
			14706 Pioneer Blvd,
Norwalk CA  90650-5837,
USA
        ","
			,
		,Chin Kim  (Pastor - Assistant)
        ",http://cerritossdachurch.org,"
		,332","
		,In Jong Moon "
"
        ,
			,
			,
        ","
			,
			1633 Central Ave,
Ceres CA  95307-1501,
USA
        ","
			,
		,Jonathan Sanchez  (Pastor - Associate)
        ",http://www.ceresadventist.org/,"
		,749","
		,Ted Baze "
,,"
        ,
			,
			
        ",http://sda25.adventistchurchconnect.org,"
		,Gordon Anic ","
        ,720-335-3531
        "
"
        ,
			,
			(,) 
			
        ","
			,
			5649 Mount Gilead Rd,
Centreville VA  20120-1906,
USA
        ","
		,Williams Ovalle ",http://centrevillespanishva.adventistchurch.org,"
    	,
			C/O Pastor Williams Ovalle,
9624 Autumn Pl,
Manassas VA  20110-6005,
USA
		","
		,142"
"
        ,
			,
			(,) 
			
        ","
			,
			23683 M 86,
Centreville MI  49032-9796,
USA
        ","
		,David Austin ",http://centreville22.adventistchurchconnect.org,"
    	,
			PO Box 325,
Centreville MI  49032-0325,
USA
		","
		,103"
"
        ,
			,
			(,) 
			
        ","
			,
			1607 Military Rd,
Centralia WA  98531-9015,
USA
        ","
		,Ira G Bartolome ",http://www.centraliasda.org,"
    	,
			1607 Military Rd,
Centralia WA  98531-9015,
USA
		","
		,240"
"
        ,Tuesday, November 14, 2017
        ","
			,
			62541 US Highway 97,
Toppenish WA  98948-9735,
USA
        ","
        ,
        ",http://centralvalleyspanishsda.org,"
    	,
			PO Box 646,
Toppenish WA  98948-0646,
USA
		","
		,241"
"
        ,Church (CCH)
        ","
			,
			3901 E Clinton Ave,
Fresno CA  93703-2517,
USA
        ","
        ,559-999-8582
        ",http://centralvalley.adventistfaith.org,"
		,310","
		,Alvin L Maragh "
"
        ,
			,
			(,) 
			
        ","
			,
			525 E Yosemite Ave,
Manteca CA  95336-5806,
USA
        ","
		,Yong Hwan Kim ",http://smkasda.com,"
    	,
			PO Box 788,
Manteca CA  95336-1134,
USA
		","
		,73"
"
		,
		","
			,
			4523 S 22nd St,
Omaha NE  68107-1924,
USA
        ","
        ,
        ",http://centralspanishne.adventistchurch.org,"
		,51","
        ,
			,
			
        "
"
        ,
			,
			,
        ","
			,
			1366 S Alvarado St,
Los Angeles CA  90006-4918,
USA
        ","
		,Juan B Osorio ","http://www.centralspanish.org ;www.centralspanishyouth.com , www.almajoven.com","
    	,
			PO Box 742076,
Los Angeles CA  90004-0887,
USA
		","
		,1104"
"
        ,
			,
			(,) 
			
        ","
			,
			80 S 18th St,
Columbus OH  43205-1123,
USA
        ","
			,
		,Ephraim Laidley  (Pastor - Assistant)
        ",http://central22.adventistchurchconnect.org,"
		,380","
		,Samuel Thomas Jr"
"
        ,Church (CCH)
        ","
			,
			8526 Northern St,
Houston TX  77081-4220,
USA
        ","
		,Ariel Acosta ",http://centralregionalspanishtx.adventistchurch.org,"
    	,
			PO Box 742201,
Houston TX  77274-2201,
USA
		","
		,465"
"
        ,
			,
			(,) 
			
        ","
			,
			625 N 10th St,
Central Point OR  97502-2165,
USA
        ","
		,James Ash ",http://www.centralpointsda.org,"
    	,
			PO Box 3039,
Central Point OR  97502-0002,
USA
		","
		,132"
"
        ,
			,
			(,) 
			
        ","
			,
			1365 Bryant St,
Rahway NJ  07065-3211,
USA
        ","
			,
		,Sungmin Cheong  (Pastor - Assistant)
        ",http://centralnewjerseykorean22.adventistchurchconnect.org,"
		,239","
		,Ki Seung Jhang "
"
        ,
			,
			(,) 
			
        ","
			,
			116 Crary Ave,
Mount Vernon NY  10550-1406,
USA
        ","
			,
		,Hector Delgado  (Pastor - Assistant)
        ",http://centralmountvernonspanishny.adventistchurch.org,"
		,153","
		,Hector Delgado "
"
        ,
			,
			(,) 
			
        ","
			,
			422 W 57th St,
New York NY  10019-3051,
USA
        ","
		,Elvis Arriaga ",http://centralmanhattanspanish22.adventistchurchconnect.org,"
    	,
			PO Box 113,
New York NY  10101-0113,
USA
		","
		,72"
"
        ,
			,
			,
        ","
			,
			298 Mary Hill Rd,
Pineville LA  71360-4105,
USA
        ","
		,Brian Cowin ",http://central-louisiana-adventist-church.org/,"
    	,
			298 Mary Hill Rd,
Pineville LA  71360-4105,
USA
		","
		,166"
"
        ,Church (CCH)
        ","
			,
			2424 Green St,
Central Lake MI  49622-9218,
USA
        ","
		,Christopher Ames ",http://centrallake22.adventistchurchconnect.org,"
    	,
			PO Box 215,
Central Lake MI  49622-0215,
USA
		","
		,20"
"
		,
		","
			,
			511 White Wing Rd,
Lenoir City TN  37771-7413,
USA
        ","
        ,
        ",http://centralknoxvillekoreantn.adventistchurch.org,"
    	,
			c/o  Sang Yong Yoon,
10204 Birch Hill Ln,
Knoxville TN  37932-1601,
USA
		","
		,8"
"
        ,
			,
			,
        ","
			,
			2113 E Villa St,
Pasadena CA  91107-2436,
USA
        ","
		,Ataru Nakagawa ",http://www.centraljapanese.org,"
    	,
			926 Manley Dr,
San Gabriel CA  91776-2329,
USA
		","
		,162"
"
        ,
			,
			(,) 
			
        ","
			,
			50 Inez Dr,
Brentwood NY  11717,
USA
        ","
        ,2024927169
        ",http://centralislipspanishny.adventistchurch.org,"
		,149","
		,Jose Santiago Avelar "
"
        ,
			,
			(,) 
			
        ","
			,
			115 Carleton Ave,
Central Islip NY  11722-3676,
USA
        ","
		,Edward G. Jackson ",http://www.cisdachurch.org.,"
    	,
			PO Box 218,
Central Islip NY  11722-0218,
USA
		","
		,202"
"
        ,
			,
			(,) 
			
        ","
			,
			1226 Shady Lane Rd,
Columbus OH  43227-1472,
USA
        ","
		,Horacio Ruben Quiroga ",http://elbuenredilhispanic22.adventistchurchconnect.org,"
    	,
			Cristian Rizzo,
1820 Hobbes Dr,
Hilliard OH  43026-8213,
USA
		","
		,129"
"
        ,
			,
			(,) 
			
        ","
			,
			2840 W Logan Blvd,
Chicago IL  60647-1730,
USA
        ","
		,Luis A. Eguiluz ",http://centralhispanic22.adventistchurchconnect.org,"
    	,
			2840 W Logan Blvd,
Chicago IL  60647-1730,
USA
		","
		,395"
"
        ,
			,
			(,) 
			
        ","
			,
			c/o Bridgeport Presbyterian Church,
1 John Calvin Dr,
Bridgeport WV  26330-1179,
USA
        ","
		,Scott Shafer ",http://centralhills22.adventistchurchconnect.org,"
    	,
			PO Box 4451,
Clarksburg WV  26302-4451,
USA
		","
		,26"
"
        ,
			,
			,
        ","
			,
			265 S Old Stage Rd,
Cave Junction OR  97523-9683,
USA
        ","
		,Charles A Byrd ",http://cavejunction22.adventistchurchconnect.org,"
    	,
			PO Box 330,
Cave Junction OR  97523-0330,
USA
		","
		,136"
"
        ,
			,
			(,) 
			
        ","
			,
			32234 N Calle De Los Arboles,
Cave Creek AZ  85331-5548,
USA
        ","
		,Sergio Moreira ",http://LightHouseOfAZ.org,"
    	,
			PO Box 4520,
Cave Creek AZ  85327-4520,
USA
		","
		,51"
"
        ,Church (CCH)
        ","
			,
			15601 Catoctin Mountain Hwy,
Thurmont MD  21788-1233,
USA
        ","
        ,301-271-3346
        ",http://catoctinview22.adventistchurchconnect.org,"
    	,
			15601 Catoctin Mountain Hwy,
Thurmont MD  21788-1233,
USA
		","
		,54"
"
        ,
			,
			(,) 
			
        ","
			,
			3 Fernhill Rd,
Cathlamet WA  98612-9548,
USA
        ","
		,Jose R Agosto ",http://cathlamet22.adventistchurchconnect.org,"
    	,
			PO Box 547,
Cathlamet WA  98612-0547,
USA
		","
		,34"
"
        ,
			,
			(,) 
			
        ","
			,
			320 East Castleton Road,
Castle Valley UT  84532,
USA
        ","
        ,435-259-7719
        ",http://castlevalley22.adventistchurchconnect.org,"
    	,
			HC 64 Box 2201,
Castle Valley UT  84532-9603,
USA
		","
		,35"
"
        ,
			,
			(,) 
			
        ","
			,
			P.O. Box 455,
7531 Old Pacific Hwy N,
Castle Rock WA  98611-8925,
USA
        ","
		,F. Ben Moor III",http://castlerock22.adventistchurchconnect.org,"
    	,
			PO Box 455,
Castle Rock WA  98611-0455,
USA
		","
		,109"
"
        ,
			,
			(,) 
			
        ","
			,
			Cornerstone Presbyterian Church,
2607 5th St,
Castle Rock CO  80104-1822,
USA
        ","
		,Godfrey Miranda ",http://castlerockadventist.church,"
    	,
			PO Box 1089,
Castle Rock CO  80104-1089,
USA
		","
		,38"
"
        ,Church (CCH)
        ","
			,
			19088 Brownsville Rd,
Cassopolis MI  49031-9583,
USA
        ","
        ,269-476-2172
        ",http://www.calvincentersda.org,"
		,153","
		,Leon George "
"
        ,Friday, November 24, 2017
        ","
			,
			426 Lakeport Cv,
Casselberry FL  32707-3038,
USA
        ","
        ,407-255-0791
        ",http://casselberryspanishfl.adventistchurch.org,"
    	,
			426 Lakeport Cv,
Casselberry FL  32707-3038,
USA
		","
		,103"
,"
			,
			108 1st St NW,
Cass Lake MN  56633-3357,
USA
        ","
		,
			,
			
		",http://casslakefellowshipmn.adventistchurch.org,"
    	,
			3712 Roosevelt Rd SE,
Bemidji MN  56601-8347,
USA
		","
        ,
        "
"
        ,Church (CCH)
        ","
			,
			2625 Casper Mountain Rd,
Casper WY  82601-5403,
USA
        ","
        ,307-235-5619
        ",http://www.CasperAdventistChurch.com,"
		,277","
		,Shayne Mason Vincent "
"
        ,Thursday, August 23, 2018
        ","
			,
			507 Pioneer Ave,
Cashmere WA  98815-1230,
USA
        ","
        ,
        ",http://cashmerespanish.org,"
		,Marco A Larumbe ","
        ,509-782-3411  
        "
"
        ,
			,
			(,) 
			
        ","
			,
			507 Pioneer Ave,
Cashmere WA  98815-1230,
USA
        ","
        ,509-782-3411
        ",http://cashmeresda.com ,"
		,105","
		,Gary F Beck "
"
        ,
			,
			(,) 
			
        ","
			,
			60670 Brookswood Blvd,
Bend OR  97702-7916,
USA
        ","
        ,541-749-9005
        ",http://cascadeor.adventistchurch.org,"
		,134","
		,Jeff Coleman "
"
        ,Church (CCH)
        ","
			,
			157 Casalita Dr,
Garland TX  75040-7902,
USA
        ","
		,Charles E. Sanders ",http://casalitadrive22.adventistchurchconnect.org; casalitadrivesda.org/,"
    	,
			PO Box 461164,
Garland TX  75046-1164,
USA
		","
		,89"
"
        ,Church (CCH)
        ","
			,
			1867 N Trekell Rd,
Casa Grande AZ  85122-1704,
USA
        ","
        ,520-836-4995
        ",http://casagrandeaz.adventistchurch.org,"
    	,
			PO Box 12365,
Casa Grande AZ  85130-0609,
USA
		","
		,117"
"
        ,
			,
			(,) 
			
        ","
			,
			400 Lincoln Ave,
Fox River Grove IL  60021-1407,
USA
        ","
        ,847-829-4064
        ",http://carygroveadventist.org,"
		,48","
		,Gabriel Bardan "
"
        ,Monday, October 31, 2016
        ","
			,
			1101 Wicklow Dr,
Cary NC  27511-4419,
USA
        ","
        ,919-641-4944
        ",http://caryhispanicnc.adventistchurch.org,"
		,2","
		,Luis Espinosa "
"
        ,Church (CCH)
        ","
			,
			2257 W Sandy St,
Caruthers CA  93609-9530,
USA
        ","
		,Joel Terrones ",http://caruthers22.adventistchurchconnect.org,"
    	,
			PO Box 276,
Caruthers CA  93609-0276,
USA
		","
		,51"
"
        ,Group (CG)
        ","
			,
			Renting,
2792 Old River Rd,
Carthage NC  28327,
USA
        ","
        ,910-947-3435
        ",http://carthageofthesandhillsnc.adventistchurch.org,"
    	,
			PO Box 64,
Carthage NC  28327-0064,
USA
		","
		,Evan Bujeker "
"
        ,Church (CCH)
        ","
			,
			825 Buchanan St,
Carthage IL  62321-1405,
USA
        ","
        ,
			,
			
        ",http://carthageil.adventistchurch.org,"
    	,
			825 Buchanan St,
Carthage IL  62321-1405,
USA
		","
		,11"
"
        ,Monday, February 5, 2018
        ","
			,
			8955 County Road 180,
Carthage MO  64836-7148,
USA
        ","
		,Gilberto Luis Moral ",http://carthagehispanicmo.adventistchurch.org,"
    	,
			c/o Mercedes Rodriguez,
3917 County Lane 133,
Carthage MO  64836-8304,
USA
		","
		,16"
"
        ,Wednesday, December 19, 2018
        ","
			,
			501 Pine St,
Carthage MO  64836-2763,
USA
        ","
        ,
        ",http://carthagemo.adventistchurch.org,"
		,3","
		,Jeff Scott Werda "
"
        ,Tuesday, July 25, 2017
        ","
			,
			2292 Cartersville Rd,
Cartersville VA  23027-9701,
USA
        ","
		,Brian Norton ",http://cartersvilleva.adventistchurch.org,"
    	,
			PO Box 63,
Cartersville VA  23027-0063,
USA
		","
		,3"
"
        ,Church (CCH)
        ","
			,
			163 Liberty St,
Central Falls RI  02863-1734,
USA
        ","
		,Nestor Amparo ",http://centralfallsspanish22.adventistchurchconnect.org,"
    	,
			PO Box 10351,
Cranston RI  02910-0094,
USA
		","
		,177"
"
        ,
			,
			(,) 
			
        ","
			,
			92 Martin Rd,
Pleasant Valley NY  12569-7940,
USA
        ","
		,Victor Dyman ",http://centraldutches22.adventistchurchconnect.org,"
    	,
			PO Box 556,
Pleasant Valley NY  12569-0556,
USA
		","
		,14"
"
        ,Church (CCH)
        ","
			,
			4917 Georgia Ave NW,
Washington DC  20011-4525,
USA
        ","
        ,202-604-4983
        ",http://centraldcspanishdc.adventistchurch.org,"
		,194","
		,Elvio Soto "
"
        ,
			,
			(,) 
			
        ","
			,
			130 Boerum St,
Brooklyn NY  11206-2625,
USA
        ","
		,Berlin Pena ",http://centralbrooklynspanishny.adventistchurch.org,"
    	,
			PO Box 60340,
Brooklyn NY  11206-0340,
USA
		","
		,153"
,"
			,
			1122 Forest Ave,
Bronx NY  10456-5476,
USA
        ","
		,
			,
			
		",http://centralbronxghanany.adventistchurch.org,"
		,Emmanuel Oduro-Bediako ","
        ,
        "
"
        ,
			,
			,
        ","
			,
			456 W Spring Valley Pike,
Centerville OH  45458-3613,
USA
        ","
		,Winston Baldwin ",http://www.centervillesdachurch.org,"
    	,
			456 W Spring Valley Pike,
Centerville OH  45458-3613,
USA
		","
		,729"
"
        ,
			,
			(,) 
			
        ","
			,
			20124 205th Ave (N Golfview Rd),
Centerville IA  52544-8938,
USA
        ","
		,Nathan Sky Cranson ",http://centerville23.adventistchurchconnect.org,"
    	,
			PO Box 784,
Centerville IA  52544-0784,
USA
		","
		,31"
"
        ,
			,
			(,) 
			
        ","
			,
			3622 N Rancho Dr,
Las Vegas NV  89130-3161,
USA
        ","
		,Wayne E. O'Bannon ",http://centennial.adventistfaith.org ,"
    	,
			PO Box 36832,
Las Vegas NV  89133-6832,
USA
		","
		,91"
,"
			,
			101 Doctors Dr,
Celina TN  38551-0619,
USA
        ","
        ,
			,   ,: UTC-6
		",,"
		,
			,
			
		","
        ,Latitude:
			,, Longitude:
			-85.504000
			, Source:
			,
        "
"
        ,
			,
			(,) 
			
        ","
			,
			Celebration Health,
404 Celebration Pl,
Celebration FL  34747-4970,
USA
        ","
        ,407-536-7330
        ",http://www.celebrationsda.com,"
    	,
			599 Celebration Pl,
Celebration FL  34747-4943,
USA
		","
		,199"
"
        ,
			,
			(,) 
			
        ","
			,
			71 Woodall Road,
PO Box 597,
Cedartown GA  30125-0597,
USA
        ","
		,Rey Bibit ",http://cedartown22.adventistchurchconnect.org,"
    	,
			PO Box 597,
Cedartown GA  30125-0597,
USA
		","
		,52"
"
        ,Group (CG)
        ","
			,
			403 Main St,
Cedartown GA  30125-3429,
USA
        ","
        ,706-331-5873
        ",http://cedartownhispanicmgga.adventistchurch.org,"
    	,
			c/o Jose Escobar,
17 Gilreath Trl NW,
Cartersville GA  30121-6084,
USA
		","
		,Jose Escobar "
"
        ,
			,
			(,) 
			
        ","
			,
			1977 Cedar Rd,
Chesapeake VA  23323-6689,
USA
        ","
        ,757-558-3750
        ",http://www.cedarssda.org.,"
		,129","
		,Keenan Tyler "
"
        ,
			,
			(,) 
			
        ","
			,
			28505 68th Ave NW,
Stanwood WA  98292-9401,
USA
        ","
		,Wayne Culmore ",http://cedarhome22.adventistchurchconnect.org,"
    	,
			28505 68th Ave NW,
Stanwood WA  98292-9401,
USA
		","
		,91"
"
        ,
			,
			(,) 
			
        ","
			,
			2nd & Center Sts,
Cedaredge CO  81413,
USA
        ","
		,Eliezar Roque-Cisneros ",http://cedaredge22.adventistchurchconnect.org,"
    	,
			PO Box 656,
Cedaredge CO  81413-0656,
USA
		","
		,81"
"
        ,
			,
			(,) 
			
        ","
			,
			8408 Highway 60,
Georgetown TN  37336-4083,
USA
        ","
		,Sergio Freeman ",http://cedarridgeadventist.org,"
    	,
			PO Box 308,
Georgetown TN  37336-0308,
USA
		","
		,147"
"
        ,
			,
			(,) 
			
        ","
			,
			1654 E US Highway 150,
Paoli IN  47454-9779,
USA
        ","
		,Melvin Dale Matthews ",http://cedarridgepaolifellowship22.adventistchurchconnect.org,"
    	,
			PO Box 307,
Paoli IN  47454-0307,
USA
		","
		,36"
"
        ,Church (CCH)
        ","
			,
			4401 42nd St NE,
Cedar Rapids IA  52411-6702,
USA
        ","
        ,
			,
			
        ",http://www.crsda.org ,"
		,421","
        ,319-393-6127
        "
"
        ,
			,
			(,) 
			
        ","
			,
			Hill Country Nazarene Church,
2300 Mottey St,
Georgetown TX  78626-2100,
USA
        ","
		,Andrew Moseley ",http://www.hillcountrysda.org,"
    	,
			2037 Mottey St,
Georgetown TX  78626-7646,
USA
		","
		,129"
"
        ,
			,
			(,) 
			
        ","
			,
			7260 N Academy Rd,
Edmore MI  48829-9413,
USA
        ","
		,Jacob Gibbs ",http://www.cedarlakechurch.com,"
    	,
			PO Box 66,
Cedar Lake MI  48812-0066,
USA
		","
		,482"
"
        ,
			,
			(,) 
			
        ","
			,
			101 Kenya St,
Cedar Hill TX  75104-2806,
USA
        ","
		,Alexander Dominguez ",http://cedarhillspanishtx.adventistchurch.org,"
    	,
			1364 E Miller Dr,
Cedar Hill TX  75104-5080,
USA
		","
		,29"
"
        ,
			,
			(,) 
			
        ","
			,
			641 Rollins St,
Shreveport LA  71106-6742,
USA
        ","
		,Etser Edouard ",http://cedargrove22.adventistchurchconnect.org,"
    	,
			PO Box 6276,
Shreveport LA  71136-6276,
USA
		","
		,169"
"
        ,
			,
			(,) 
			
        ","
			,
			11111 NE Cedar Creek Rd,
Woodland WA  98674,
USA
        ","
		,Martin L Jackson ",http://cedarcreek22.adventistchurchconnect.org,"
    	,
			PO Box 1848,
Woodland WA  98674-1700,
USA
		","
		,160"
"
        ,
			,
			(,) 
			
        ","
			,
			4571 N Highway 91,
Enoch UT  84721-7507,
USA
        ","
        ,435-867-4886
        ",http://cedarcityut.adventistchurch.org,"
    	,
			PO Box 686,
Cedar City UT  84721-0686,
USA
		","
		,65"
"
        ,
			,
			(,) 
			
        ","
			,
			5660 Hwy 20,
Cartersville GA  30121,
USA
        ","
		,Jose Escobar ",http://cartersvillehispanicga.adventistchurch.org,"
    	,
			c/o Yamilet Hernandez,
639 Hall Station Rd,
Kingston GA  30145-1415,
USA
		","
		,71"
"
        ,Tuesday, August 15, 2017
        ","
			,
			812 N Tennessee St,
Cartersville GA  30120-2831,
USA
        ","
        ,706-618-1182
        ",http://cartersvillehispanicga2.adventistchurch.org,"
		,50","
		,Jose Reyes "
"
        ,Church (CCH)
        ","
			,
			83 Carteret Ave,
Carteret NJ  07008-2552,
USA
        ","
        ,973-459-8467
        ",http://carteretspanish22.adventistchurchconnect.org,"
		,237","
		,Ricardo Cala "
"
        ,Church (CCH)
        ","
			,
			121 Carter Town Rd,
Warsaw VA  22572-2508,
USA
        ","
        ,804-493-8314
        ",http://cartermemorial22.adventistchurchconnect.org,"
		,77","
		,Richard Dahlberg Jr."
"
        ,
			,
			(,) 
			
        ","
			,
			21828 Dolores St,
Carson CA  90745-3026,
USA
        ","
        ,424-287-2829
        ",http://carsonsda.org,"
		,309","
		,Arturo Escudero "
"
        ,Church (CCH)
        ","
			,
			405 College Pkwy,
Carson City NV  89706-1941,
USA
        ","
        ,775-882-3541
        ",http://www.carsoncitysda.org,"
		,309","
		,Tony Brandon "
"
        ,Tuesday, September 23, 2014
        ","
			,
			10619 Henderson Rd,
Tampa FL  33625-4917,
USA
        ","
        ,813-962-7493
        ",http://www.carrollwoodchurch.com,"
		,189","
		,Alexander Voigt "
"
        ,Church (CCH)
        ","
			,
			335 Oak Grove Rd,
Carrollton GA  30117-7756,
USA
        ","
		,James Venegas ",http://carrollton23.adventistchurchconnect.org,"
    	,
			PO Box 1066,
Carrollton GA  30112-0020,
USA
		","
		,41"
"
        ,
			,
			(,) 
			
        ","
			,
			450 12th St NW,
Carrollton OH  44615-9413,
USA
        ","
		,William Rodriguez ",http://carrollton22.adventistchurchconnect.org,"
    	,
			450 12th St NW,
Carrollton OH  44615-9413,
USA
		","
		,28"
"
        ,
			,
			(,) 
			
        ","
			,
			436 Columbia Dr,
Carrollton GA  30117-8730,
USA
        ","
		,Ismael Uribe ",http://carroltonspanish22.adventistchurchconnect.org,"
    	,
			C/O,
4045 McClendon Way,
Rex GA  30273-1655,
USA
		","
		,41"
